username,comment,comment_likes,since_posted,current_date
@rebrand225,more football associations should post the full match on youtube cause this match was unreal,2.2K,2 months ago,06/04/2024
@ricardobjj24,Games like this are why football is the best sport in the world,2.7K,2 months ago,06/04/2024
@user-tq8tr4sj3s,Into the history books it goes. Classic game between the two biggest rivals in English football ,918,2 months ago,06/04/2024
@Ilkaygundogoat,Actually one of the most enjoyable games I ever watched,784,2 months ago,06/04/2024
@ny8196,"9:20 Man U 1-0
43:25 Liverpool 1-1
46:43 Liverpool 1-2
1:31:06 Man U 2-2
 Liverpool 2-3
  Man U 3-3
  Man U 4-3",1.1K,2 months ago (edited),06/04/2024
@kevinliew5112,This match become more meaningful after winning FA Cup 2024 ,6,9 days ago,06/04/2024
@DexterPlayz_Productions,"I cried my eyes out when United scored the 4th goal. Come on United!

QUADRUPLE DREAMS, THEY ARE ALL CRUSHED! BY UNITED, BY UNITEEED",531,2 months ago,06/04/2024
@creedencebakken2686,The people who will watch this after missing out on it live won’t experience the anxiety both fan bases experienced ,507,2 months ago,06/04/2024
@kashimawoorogade2594,The first 30 mins is the best 30 mins have seen United play under Ten Hag against a top 6 opponent both home and away .. they need to do that for longer,251,2 months ago,06/04/2024
@virajjain786,Dalot has such a great mentality he tries to motivate every player on the pitch future captain for sure ,123,2 months ago,06/04/2024
@josephngola,I like the show of passion from that young boy he felt crying after Amad  goal.,143,2 months ago,06/04/2024
@meat_loves_wasabi,Wow .. they showing the whole game .. that’s how epic it was,145,2 months ago,06/04/2024
@curtisoliver1006,This is going to be a popular full match upload. What a match to recap on. Even if you are not a Man Utd or Liverpool supporter. I am however a delighted man as I'm Utd.,142,2 months ago (edited),06/04/2024
@Self-unaliver,This game is an all timer. The level of football was like a Champions League final.,138,2 months ago,06/04/2024
@jpmeredith8973,Partisan commentary throughout this game. Pro-Liverpool completely contradicting what the eyes can see.,167,2 months ago,06/04/2024
@ILTOMBA,How dominant Mainoo already is in his body language both on and off the ball.,133,2 months ago,06/04/2024
@arjunkartik3646,Dis game was rollercoaster of emotions ngl,177,2 months ago,06/04/2024
@Fun_and_Amazing_Facts,"I was working my shift when this game was on, could only get goal notifications
So Glad i Can Watch the whole game again",119,2 months ago,06/04/2024
@rodrigoher2370,That game makes you understand how special the FA CUP is on a cultural level and the passion there is for this tournament Let's go Manchester United,47,2 months ago,06/04/2024
@jamesdaniel3942,Who agrees with me that onana was impressive in this match.. i think he did so well,46,2 months ago,06/04/2024
@KennyFanTV,Amad diallo scored against Liverpool in the friendly at Thailand and he has done it again ,73,2 months ago,06/04/2024
@danthemainman2492,Peter Drury is the man we want for commentary on big football matches like these.,88,2 months ago,06/04/2024
@Kris_413,"Just finish watching the whole thing and that passion the little boy showed in the crowd is why we call it ""The Beautiful Game"" ",24,2 months ago,06/04/2024
@bijanadhikari7928,This will go down as one of the greatest matches in English football history. Instant classic.,16,2 months ago,06/04/2024
@sb21..,Bet Liverpool fans Amad after that game,182,2 months ago (edited),06/04/2024
@rajveerkanojiya2985,if commentary was better this was an 10/10 game,32,2 months ago,06/04/2024
@duffmid,If I had been listening to this commentary live I would've lost my mind.  Watching it back now with a slight sense of detachment the bias and predetermined narrative is so painfully clear.  Makes the final result all the more sweet though.,32,2 months ago,06/04/2024
@notjhoan,Best game since the world cup final,46,2 months ago,06/04/2024
@markmorris5341,Petition for all major leagues to post full match highlights and speedy highlights like the fa cup admins .,22,2 months ago,06/04/2024
@arunbelur6759,Thank you for posting this. Here in Australia  FA Cup and the Premier League is at odd times. Now I can enjoy this and not some silly highlights.,22,2 months ago,06/04/2024
@ReggyGDI,One of the best games of this season and maybe one of the best games of the FA Cup.,19,2 months ago,06/04/2024
@United_Wings,This is an official classic,41,2 months ago,06/04/2024
@abhishekgiri1201,A United Liverpool classic !! The boys showed so real character !! GGMU,19,2 months ago,06/04/2024
